id,car_id,user_id,garage_id,reception_date,repair_date,status,notes
a838549e-b46d-48cf-8c4e-2f3eb98065cf,59da6513-768a-41d9-bd14-80ba21ea0c15,28f847b0-4a11-4d4a-bbf8-846eaaeec44d,552a7795-d391-4e85-9a7e-465dc29124f2,2024-06-24,2024-06-26,Cancelled,
0cdf56a1-53bc-451a-9987-1ca8e6f54bb2,1fcc0474-7d72-4d91-b411-fc3b36448678,7c444f83-ec9a-44ee-8755-c821b94733a0,552a7795-d391-4e85-9a7e-465dc29124f2,2023-03-20,2023-04-02,In Progress,Customer reported strange noise
2b56fe87-0000-4942-89d2-44261a813f59,94c680f3-dc10-4d26-9950-bb621afeaa32,8915e7ca-f48c-4286-a36b-73e1db99225e,552a7795-d391-4e85-9a7e-465dc29124f2,2022-10-27,2022-10-31,In Progress,Customer reported poor performance
26edc4d5-5102-48cf-8f24-afee69b042ab,fce9e97b-7f86-4e63-92c0-550b52da69c6,8f957610-2988-4cc0-8b30-adcc736c5457,552a7795-d391-4e85-9a7e-465dc29124f2,2022-03-12,2022-03-23,Completed,Customer reported overheating
e7035433-71d4-42fe-8cd4-8423c3a7661a,c4e5bed2-17e3-42fc-b6fb-c9c4c238852e,28f847b0-4a11-4d4a-bbf8-846eaaeec44d,552a7795-d391-4e85-9a7e-465dc29124f2,2025-02-23,2025-02-26,Cancelled,Customer reported check engine light
9ea11579-378e-439a-9642-e3c18605af3b,031d8218-c377-4ffe-9379-696c4c124b7c,28f847b0-4a11-4d4a-bbf8-846eaaeec44d,552a7795-d391-4e85-9a7e-465dc29124f2,2023-07-03,2023-07-10,Cancelled,Customer reported strange noise
f328082e-38b7-403c-874f-ed82d5731d46,ed97e92a-36bf-44e9-b363-a374e08a927e,8f957610-2988-4cc0-8b30-adcc736c5457,552a7795-d391-4e85-9a7e-465dc29124f2,2025-02-17,2025-02-26,In Progress,Customer reported vibration
105b680f-9283-417d-9226-034ab9df0780,5363a4cb-988e-44cd-bcea-eca1408718ce,28f847b0-4a11-4d4a-bbf8-846eaaeec44d,552a7795-d391-4e85-9a7e-465dc29124f2,2022-05-01,2022-05-03,Cancelled,Customer reported vibration
d74e737b-fe95-43aa-a889-1e41133f34bf,edf7ab09-9b8e-4e77-a843-2808ed259ba8,1f566afa-c1ec-41b3-8c5d-f021ace3a410,552a7795-d391-4e85-9a7e-465dc29124f2,2023-05-03,2023-05-10,Cancelled,Customer reported check engine light
31c85fd3-2ebd-43b3-b1fe-81668b112763,1fcc0474-7d72-4d91-b411-fc3b36448678,28f847b0-4a11-4d4a-bbf8-846eaaeec44d,552a7795-d391-4e85-9a7e-465dc29124f2,2023-03-27,2023-03-27,In Progress,Customer reported vibration
